Iteration,Hole Diameter (mm),Mass (kg),Stress (MPa)
1,35.0,1.40062109522739,43.1803
2,38.40985,1.39746325144685,42.9984
3,41.910650000000004,1.39746325144685,42.9984
4,45.41145,1.39028853156796,43.1441
5,48.8394,1.39028853156796,43.1441
6,52.26734999999999,1.38210166182635,43.229
7,55.652849999999994,1.38210166182635,43.229
8,59.038349999999994,1.3728881777097,43.2941
9,62.391299999999994,1.3728881777097,43.2941
10,65.74425,1.36252382254033,43.392
11,69.04825,1.36252382254033,43.392
12,72.35225,1.35133944348204,43.6382
13,75.53315,1.35133944348204,43.6382
14,78.71405000000001,1.33956050316852,43.8239
15,81.80210000000001,1.33956050316852,43.8239
16,84.89015,1.32717632352375,44.2377
17,87.77130000000001,1.32717632352375,44.2377
18,90.65245000000002,1.31477873744802,44.5992
19,93.35285000000002,1.31477873744802,44.5992
20,96.05325000000002,1.30242000642169,45.2203
21,98.44310000000002,1.30242000642169,45.2203
22,100.83295000000001,1.29088613895029,45.4568
23,103.10455000000002,1.29088613895029,45.4568
24,105.37615000000002,1.27940387333219,46.0303
25,107.36100000000002,1.27940387333219,46.0303
26,109.34585000000001,1.26895685739808,46.5216
27,111.08505000000001,1.26895685739808,46.5216
28,112.82425,1.25948524562755,47.0887
29,114.2799,1.25948524562755,47.0887
30,115.73554999999999,1.25132982633441,47.6235
31,116.92379999999999,1.25132982633441,47.6235
32,118.11204999999998,1.24451854044438,48.2844
33,118.96984999999998,1.24451854044438,48.2844
34,119.82764999999998,1.23951543371518,48.7334
35,120.46094999999997,1.23951543371518,48.7334
